Age,Gender,Years IT / Programming Experience,Occupation,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In,Training & Education: No formal training,Training & Education: On the job,Training & Education: Boot camp or night school,Training & Education: Online Class,Training & Education: Mentorship,Training & Education: Industry certification,"Training & Education: Some college, but no CS degree",Training & Education: BS in CS,Training & Education: Masters in CS,Training & Education: PhD in CS,Training & Education: Other,Compensation,Compensation: midpoint,Employment Status,Industry
35-39,Male,11+ years,Back-end web developer,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,Industry certification program,,Bachelor of Science in Computer Science (or related field),,,Other,,,Employed full-time,Aerospace
40-50,Male,11+ years,Back-end web developer,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,Go,,,iOS,,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,,,Python,,,Ruby,,,,,,SQL,,,,,,XQuery,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$80,000 - $100,000",90000,Freelance / Contractor,Consulting
35-39,Male,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,On-the-job training,,,,Industry certification program,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Consulting
30-34,Male,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$80,000 - $100,000",90000,Employed full-time,Consulting
40-50,Male,11+ years,Back-end web developer,,,AngularJS,,,,C#,Cassandra,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,,,On-the-job training,"Intensive code ""boot-camp"" or night school",,,,,,,,,"$100,000 - $120,000",110000,Employed full-time,Consulting
35-39,Male,11+ years,Back-end web developer,Android,Arduino / Raspberry Pi,,,,,C#,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,,PHP,,,Redis,,,,,,,SQL,,,,,Wordpress,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,Other,"$120,000 - $140,000",130000,Freelance / Contractor,Consulting
30-34,Female,11+ years,Back-end web developer,,,AngularJS,,C++,,C#,,,,,,,,,,,,Java,JavaScript,LAMP,,MongoDB,,,,,,,,Ruby,,,,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Consulting
25-29,Male,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,Other,"$20,000 - $40,000",30000,Freelance / Contractor,Consulting
40-50,Female,11+ years,Back-end web developer,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$120,000 - $140,000",130000,Employed full-time,Consulting
35-39,Male,11+ years,Back-end web developer,,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$100,000 - $120,000",110000,Employed full-time,Consulting
